--- AVX/AVX2/AVX-512 (YMM/ZMM)  (-mavx2, -mavx512f -mavx512vl) ---
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_chacha20poly1305_decrypt: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_chacha20poly1305_encrypt: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_dilithium_ntt_bench: 108 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_dilithium_ntt_generic_ref: 108 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_ed25519_double_scalarmult_public: 1 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_ed25519_keypair: 2 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_ed25519_point_from_scalar: 6 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_ed25519_sc_muladd: 2 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_ed25519_sc_reduce: 2 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_ed25519_scalarmult_public: 1 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
